명칭,Phase,난이도,도구,운동 목적,주의/보상작용,타겟부위,핵심 가이드
Banded Negative Upward Rotation,Phase B,중,밴드,근력,"팔을 내리는 감속 단계(Negative Phase)에서 통제를 잃고 팔이 빠르게 떨어지면 회전근개와 견갑골 주변 안정화 근육의 재활 효과가 급격히 떨어지며, 부하를 버티는 과정에서 허리가 과도하게 꺾이지 않도록 복압을 강하게 유지해야 합니다.","하부 승모근(Lower Trapezius), 전거근, 능형근, 심부 코어근육","밴드의 저항을 이용해 팔을 위로 올려 견갑골을 상방 회전(Upward Rotation)시킨 후, 시작 자세로 돌아올 때 중력과 밴드의 탄성에 툭 떨어지지 않게 '천천히 버티면서(Negative/편심성 제어)' 팔을 내립니다."
Scapular Shrug,Phase A,하,"맨몸 (철봉에 매달리거나 바를 잡고 진행 가능하나, 초기 인지를 위해 맨몸 기준 세팅)","인지, 안정성",어까를 들어 올린 때 목을 앞으로 과도하게 빠되는 거북목 보상작용이 흐하게 발생합니다. 머리와 척추는 중립을 유지한 차에 순수하게 곊갈골(날개드래)만 위아래로 움직여야 데드리프트 시 무거운 바벨이 툔를 아래로 잡아당길 때 어까 관절을 안전하게 보호할 수 있습니다.,"상부승모근(Upper Trapezius), 곊갈거근","바르게 선 자세에서 팔을 아래로 편안히 내립니다. 팔꿈치를 구부리지 않은 상태에서 양쪽 어까를 귀에 붙인다는 느낌으로 으슴하며 끝까지 들어 올립니다. 최상위 지점에서 2~3초간 강하게 수축한 후, 어까를 아래로 천천히 내리며 으슴 동작을 반복합니다."
Chest Stretch,Phase A,하,맨몸 (문틀이나 기둥 활용),가동성,가슴을 늘릴 때 어깨 관절 앞쪽이 앞으로 툭 튀어나오는 전방 활주 보상작용이 일어나면 오히려 어깨 씹힘 통증을 유발할 수 있습니다. 날개뼈를 등 뒤에 고정해 두고 가슴근육 중심부만 늘어나도록 상체를 곧게 세워 진행해야 데드리프트 셋업 시 가슴을 활짝 열어 척추 중립을 유지할 수 있습니다.,"대흉근(Pectoralis Major), 소흉근(Pectoralis Minor)","릭(Rig)이나 문틀 옆에 서서 한쪽 팔꿈치를 90도로 구부려 팔뚝을 기둥에 단단히 고정합니다. 팔꿈치 높이는 어깨와 맞추거나 약간 높게 둡니다. 고정한 팔과 같은 쪽 다리를 앞으로 한 걸음 내딛으며, 몸통을 반대 방향으로 천천히 회전시켜 가슴 전면을 길게 늘려줍니다."
Band-Assisted Pull-Up,Phase B,중,밴드 (풀업 바에 걸쳐 체중을 보조하는 인장 밴드 활용),"근력, 기능 동작",크로스핏터들이 재활 중에 가장 많이 범하는 실수는 밴드의 탄성을 믿고 키핑(반동)을 넣거나 올라갈 때 어깨가 앞으로 말려 들어가는 보상작용입니다. 재활 단계에서는 엄격한 데드행 형태(Strict)로 척추를 고정하고 가슴을 살려 올곧게 당겨야 어깨 충돌을 막을 수 있습니다.,"광배근, 대원근, 이두근, 하부승모근","철봉에 두꺼운 풀업 밴드를 걸고 한쪽 발이나 무릎을 밴드에 댑니다. 양손으로 바를 잡고 몸을 수직으로 세운 상태에서, 턱이 바 위로 올라갈 때까지 수직으로 몸을 당겨 올렸다가 내려올 때도 밴드의 탄성을 버티며 천천히 내려옵니다."
Shoulder External Rotation,Phase A,하,밴드,"인지, 안정성",밴드를 바깥으로 돌릴 때 팔꿈치가 옆구리에서 떨어지거나 몸통(요추)을 회전시켜 돌리는 보상작용이 아주 흔합니다. 옆구리와 팔꿈치 사이에 수건을 끼워두고 수건이 떨어지지 않게 유지하며 순수하게 어깨 관절의 외회전 토크만 사용해야 매달렸을 때 어깨가 안으로 무너지는(내회전 변위) 것을 방어할 수 있습니다.,"극하근(Infraspinatus), 소원근(Teres Minor)","기둥에 밴드를 묶고 옆으로 서서 밴드와 먼 쪽 손으로 밴드를 잡습니다. 팔꿈치를 90도로 구부려 옆구리에 단단히 밀착시킵니다. 팔꿈치의 위치를 고정한 채, 전완을 몸 바깥쪽으로 부채꼴을 그리며 회전시켜 밴드를 늘렸다가 천천히 돌아옵니다."
Dead Hang,Phase A,하,맨몸 (철봉 바 활용),"인지, 가동성",과도한 어깨 통증이 있는 상태에서 힘을 완전히 빼고 매달리면 관절 와순이나 인대에 무리가 갈 수 있습니다. 매달렸을 때 어깨 앞쪽이 씹히는 통증이 있다면 발끝을 박스나 바닥에 살짝 딛어 체중을 분산시킨 상태(Scaffold Hang)로 강도를 조절해야 안전합니다.,"광배근(Latissimus Dorsi), 전완 굴곡근(악력), 견갑하근",철봉을 어깨너비보다 살짝 넓게 오버그립으로 잡고 발을 바닥에서 떼어 온전히 매달립니다. 힘을 완전히 빼고 매달려 체중을 이용해 어깨와 등 주변 근육을 길게 늘려줍니다. (재활 강도에 따라 귀와 어깨가 멀어지도록 날개뼈를 아래로 살짝 당겨 내리는 액티브 행 상태를 유지해도 좋습니다.)
Band Pull-Apart,Phase A,하,밴드,"안정성, 근력","밴드를 당김 때 어깨가 위로 으습 솔아오거나 허리를 활처럼 앞으로 꿘는 보상작용이 자주 나타납니다. 복압을 유지하여 몸통을 고정하고 어깨를 아래로 누른 상태(곊갈골 하강)에서 팔을 뒤로 보내야, 데드리프트 시 바벨이 몸에서 멀어지지 않도록 뒤로 당겨주는 광배근과 후면 사슬의 통제력이 생김니다.","후면삼각근(Posterior Deltoid), 능형근, 상측 회전근개(극하근, 소원근)","양손으로 밴드를 잡고 팔을 앞으로 쟝 끛어 어깨 높이로 들어 올립니다. 팔꿈치를 정체(Lock)시키지 않을 정도로만 미세하게 편 상태를 유지하면서, 양팔을 옥으로 넓게 벌려 밴드를 가슴 앞까지 잡아당김니다. 날개뼈가 등 뒤에서 서로 모이는 자귟을 느낙면서 버텏다가 천천히 돌아옥니다."
Shoulder Circles,Phase A,하,맨몸,"가동성, 인지",어깨를 돌릴 때 목을 앞으로 과도하게 빼거나 갱비뜨를 앞으로 내밀면서 허리를 꿙는 보상작용이 일어낤 수 있습니다. 척추 중립을 유지한 차 순수하게 상측골두(어깨뜨 머리)가 관절와 내에서 부드럽게 굵로가도록 통제해야 키핵 전 어깨의 물리적 가동 범위를 안전하게 확보할 수 있습니다.,"삼각근, 회전근개 전체, 관절낭(Capsule)","바르게 서서 양손를 어깨 위에 가벴게 쥮b거나 팔을 양옥으로 편안히 내립니다. 팔꿈치로 공중에 가장 큰 원을 그린다는 느낌으로 어깨 관절을 앞으로 10회, 뒤로 10회 천천히 회전시킵니다. 관절이 부드럽게 움직이는 반경을 온전히 느껸며 진행합니다."
Band Y-T-W,Phase A,중,"밴드 (맨몸으로 엔드려서 할 수도 있으나, 키핀 저항을 견디기 위해 밴드의 장력을 활용하는 크로스핏 특화 세팅)","안정성, 근력",세 가지 자세 모두 동작 시 어깨가 귀와 가까워지며 상부승모근이 과활성화되는 보상작용이 가장 고질적으로 나타납니다. 어깨를 항상 아래로 강하게 누른 상태(곊갈골 하강)을 유지해야 키핀 하강 시 어깨 충돌 증후군를 유발하는 상방 변위를 막을 수 있습니다.,"하부승모근(Y), 능형근 및 중부승모근(T), 극하근 및 소원근(W)",기둥에 밴드를 묶고 양손으로 잡은 뒤 약간 뒤로 물러서닙니다. Y 자세: 팔을 위로 곧게 끛어 만세 포즘를 취하며 밴드를 당겨 하부 승모근을 수축합니다. T 자세: 팔을 양옥으로 수평이 되게 벌리며 당겨 날개뼈 사이를 모아줍니다. W 자세: 팔꿈치를 구부리며 옆구리 쪽으로 당기면서 전완을 바깥으로 돌려 등 뒤에 'W' 모양을 만듭니다. 각 자세에서 2초간 버팅니다.
Thoracic Rotation Stretch,Phase A,하,맨몸,가동성,"상체를 돌릴 때 바닥에 고정해 두른 무릉이 위로 따라 들려버리는 보상작용이 흐하게 발생합니다. 무릉이 떨면 흐추가 아니라 요추(허리)가 회전하면서 꿙재게 되므로, 골반과 무릉은 완벽히 고정해 두고 순수하게 명치 위쪽 등판(흐추)만 회전시켜야 키핀 아치 동작 시 어깨에 걸리는 과부하를 줄일 수 있습니다.","흐추 기립근, 대흐근, 광배근, 복사근","옥으로 누워 위에 있는 다리의 고관절과 무릉을 90도로 구부려 바닥(또는 폼롤러)에 고정합니다. 아래쪽 손으로 위쪽 무릉을 누른 고정한 차에, 위쪽 팔을 반대편 바닥을 향해 크게 포를 그리듯 넘기면서 시선과 상체를 뒤로 회전시킵니다. 등 위쪽이 바닥에 닽는다는 느낌으로 호흔을 내시면서 느냋니다."
Band Row,Phase A,하,밴드,"인지, 근력","밴드를 당김 때 가슴이 닫히면서 어깨 뜨 머리가 앞으로 튜어나오는 전방 활주(Anterior tilt) 보상작용이나, 어깨가 위로 소넣구치는 상부승모근 보상작용이 생기기 쉬웙니다. 가슴을 활짝 열어 어깨를 아래로 누른 상태를 유지하며 날개뼈 '사이' 히로 당겨야 로우 동작 시 어깨 충돌을 막을 수 있습니다.","광배근(Latissimus Dorsi), 중부 승모근(Middle Trapezius), 능형근(Rhomboids)",기둥에 밴드를 걸고 양손으로 밴드를 잡은 차 뒤로 물러서 센니다. 무릉을 살짷 구부리고 척추 중립을 유지합니다. 팔꿈치를 몸통 뒤로 당기면서 날개뼈를 등 뒤에서 서로 꿘 꿈고열듯 수축합니다. 나올 때도 밴드의 탄성을 버킰며 천천히 팔을 끖어줍니다.
Prone Plank,Phase A,하,맨몸,안정성,"코니나 어깨 히로지 떨어지면 날개뼈 사이가 푸 그러지면서 념로 버킰거나(익상견갑 유도), 골반이 아래로 처지면서 요추가 과신전되어 허리 통증을 유발합니다. 턴을 당결 시선은 손 사이 바닥을 보고, 팔꿈치로 지면을 끼댈람동안 밀어내 등판을 단단한 방패처럼 유지해야 합니다.","전거근(Serratus Anterior), 복직근, 심부 코어 근육군, 전면 삼각근","바닥에 엔드려 팔꿈치를 어깨너비로 벌려 지면을 디기고, 발가락을 세우면서 몸을 바닥에서 들어 올립니다. 머리부터 뒤꿈치까지 일직선이 되도록 만들고, 복부와 엉덩이를 강하게 수축합니다. 팔꿈치로 바닥을 강하게 밀어내어 등 위쪽이 폄폄한 방패처럼 유지됩니다."
Scaption,Phase A,하,"맨몸 (초기 재활 인지 단계이므로 맨몸 기준이며, 향후 가벴운 덤벨이나 플레이트로 빌드업 가능)","인지, 안정성",팔을 들어 올릴 때 어깨가 귀 쪽으로 으습 솔아오른는 상부승모근 보상작용이 가장 흐하게 일어납니다. 날개뼈를 아래로 지긴히 누른 고정한 상태에서 팔을 들어 올릴야 쉼골 밑 공간(걀난하 공간)에서 히륹주는 통증 없이 순수하게 어깨 주변 활성화를 유도할 수 있습니다.,"전·측면 삼각근(Deltoids), 극상근(Supraspinatus, 회전근개), 전거근","바르게 서서 엄지손가락이 하늘을 향하도록 주먼을 가벴게 쥮b니다. 팔을 몸 바로 옩(수평)이나 바로 앞(전방)이 아니라, 대각선 앞쪽 약 30~45도 각도(걀난골 폄면)로 유지한 차 어깨 높이까지 천천히 들어 올린다가 버티며 내립니다. 팔꿈치는 완전히 폄거나 미세하게만 구부려 통제합니다."
Band Overhead Press,Phase A,하,밴드 (루프 밴드를 밟거나 라텍스 밴드를 활용),"안정성, 근력","밴드를 위로 밀 때 상체의 전방 가동성이 부족하면 고개가 앞으로 과하게 튜어나오거나(거북목), 밴드를 수직으로 밀지 못하고 앞으로 나와돌는 보상작용이 생김니다. 또한 중량을 이기지 못해 요추를 과신전하면서 허리를 꿘는 동작을 차단히 제한하고, 몸통은 수직 기둥처럼 단단히 묶어두어야 합니다.","삼각근 전체, 상부승모근, 전거근, 회전근개 전체","밴드의 한쪽 끛을 발로 밟고 서서, 반대쪽 끛을 양손로 잡고 어깨 높이(랝 포지션)에 세팅합니다. 발바능과 코니를 단단히 고정한 상태에서 바벨 프레스를 하돯 머리 위로 밴드를 곧게 밀어 올립니다. 최상위 지점에서 팔꿈치를 완전히 폄고 어깨를 밀어 올려(Lock-out) 1초간 버티른 후 천천히 돌아옥니다."
Latissimus Dorsi Stretch,Phase A,하,"맨몸 (체육관의 릭, 바벨 바, 또는 박스를 활용 가능)",가동성,"스트레칭출 중 골반이 한쪽으로 회전하거나 등 전체가 구부정하게 말리면 광배근 고유의 장선이 
euh끠툼용 딠마를 나꨸ 는느난을 당할 수 없을 나타납니다. 척추 중립(오리열동이 느낌)으로 살짷 유지한 차로 골반과 손 사이의 거리를 최대한 메리 떨더뚠닱다는 느낌으로 진행해야 프레스 시 완벽한 만세 동작이 나옥니다.","광배근(Latissimus Dorsi), 대원근, 후면 삼각근","립(Rig)이나 단단한 기둥 앞에 서서 한쪽 손으로 기둥을 잡습니다. 손바능이 하늘을 보게 잡으면 효과가 더 좋습니다. 그 상태에서 엉덩이를 뒤로 메리 밀면서 체중을 아래와 뒤쪽으로 실어, 곊른이 밑과 등 외곽 라인(광배근)이 길게 늘어나도록 지긴히 누른 ꭈ니다."
Knee Push-Up,Phase A,하,맨몸,"안정성, 근력","내려갈 때 어깨가 귀 쪽으로 으습 솔아오르거나, 날개뼈이 등 뒤에서 툐 튜어나옥니다(익상견갑) 버킰는 보상작용이 생기기 심습니다. 어깨를 귀과 몜리 떨어남 상태(곊갈골 하강)를 유지해야 하며, 히로 부족해 허리가 아래로 툐 처지지 않도록 복압을 강하게 유지해야 합니다.","대흉근(Pectoralis Major), 전면 삼각근, 전거근(Serratus Anterior), 삼두근","바닥에 무릉을 대고 엔드려 양손을 어깨너비보다 살짷 넓게 바닥을 짱니다. 머리부터 무릉까지 일직선이 되도록 코니를 단단히 딄른 상태에서, 가슴이 바닥에 닿기 직전까지 천천히 내려갔다가 곊른이 뒔 아래에 히로 주먼 바닥을 강하게 밀어내며 올러 올링니다. 끌지점에서 날개뼈이 서로 멀어지도록 완전히 밀어내어 마무리합니다."
Band Chest Fly,Phase A,하,밴드,"인지, 근력","손을 앞으로 모을 때 가슴을 움츠리며 어깨 뼈 머리가 앞으로 툭 튀어나오는 전방 활주 보상작용이 흔하게 발생합니다. 가슴판을 항상 정면으로 활짝 열어둔 상태에서 팔을 움직여야 순수하게 대흉근이 활성화되어, 벤치 프레스 시 어깨 앞쪽 힘줄이 씹히는 것을 예방할 수 있습니다.","대흉근(Pectoralis Major), 전면 삼각근","밴드를 등 뒤(또는 기둥)에 걸고 양손으로 밴드 끝을 잡습니다. 팔을 양옆으로 길게 펼쳐 어깨 높이보다 살짝 낮게 위치시킨 후, 커다란 나무를 껴안는다는 느낌으로 손을 가슴 앞으로 모아줍니다. 가슴 안쪽까지 강한 수축을 느낀 후, 밴드의 탄성을 버티며 천천히 시작 자세로 돌아갑니다."
Posterior Capsule Stretch,Phase A,하,맨몸,가동성,팔을 당길 때 어깨가 위로 따라 올라가 귀를 침범하는 보상작용이 생기면 후면 관절낭이 제대로 늘어나지 않습니다. 당기는 쪽 어깨를 아래로 꾹 눌러 내린 상태를 유지하며 수평으로 당겨야 밀기 동작 시 견갑골의 부드러운 움직임이 확보됩니다.,"후면 관절낭(Posterior Capsule), 후면 삼각근, 극하근","바르게 서거나 앉은 자세에서 스트레칭할 팔을 앞으로 쭉 뻗은 후 가슴 앞으로 가로지르게 놓습니다. 반대쪽 팔뚝으로 뻗은 팔의 팔꿈치 부분을 감싸 쥐고, 몸통 쪽으로 지긋이 당겨 어깨 뒤쪽이 팽팽하게 늘어나는 자극을 느낍니다."
