명칭,Phase,타겟부위,운동 목적,핵심 가이드,주의/보상작용,난이도,도구
Box Deadlift,Phase B,"대둔근, 대퇴사두근, 광배근, 첨추기립근","근력, 기능 동작","무릅 높이 정도의 박스나 플레이트 탑 위에 바벨(또는 PVC 파이프)을 올려놓고 세팅합니다. 정석 데드리프트 자세로 셈업하여 바벨을 잡고 엉덩이와 첨추를 단단히 잠근 뒤, 바닥을 밀어내며 일어납니다. 터치 앤 고(Touch-and-go) 동작 시 박스 위에 바벨을 살짝 터치하고 다시 동작을 반복합니다.",바닥에서부터 시작하는 정석 데드리프트는 가동 범위가 깊아 셈업 자세에서 무릅이 앞으로 밀리거나 허리가 말리기 쉭습니다. 박스를 이용해 높이를 높여주면 이러한 보상작용이 급격히 줄어듭니다. 바벨을 들어 올릴 때 정강이에서 바벨이 멀어지면 무릅과 허리에 전단력이 크게 걸리으므로 바벨을 항상 몸에 밀착시켜야 합니다.,중,"바벨, PVC 파이프"
Bodyweight Romanian Deadlift,Phase A,"대둔근, 햄스트링(슬괴근), 첨추기립근","인지, 가동성","발을 골반 넓이로 서서 무릅은 정체(Lock)되지 않을 정도로만 미세하게 국힙니다. 양손을 허복지 앞에 두고, 엉덩이를 벽 쪽으로 멀리 미다는 느낌으로 체중을 뒤꿈치에 실으며 상체를 숙입니다. 첨추의 정렬을 유지한 채 허복지 뒤쪽(햄스트링)이 팝팝해질 때까지 내려갔다가 엉덩이를 앞으로 밀며 일어납니다.","크로스핏터들이 흔히 범하는 실수는 엉덩이를 뒤로 빼지 않고 상체만 아래로 숙여 허리가 둥글게 말리거나, 반대로 무릅을 과도하게 앞으로 구부려 스쿼트처럼 내려가는 보상작용입니다. 무릅의 위치는 발목 바로 위에 고정해 두고 순수하게 고관절 접기(Hip Hinge)로만 움직여야 무릅 전방 관절에 가해지는 부하를 차단할 수 있습니다.",하,맨몸
Side-lying Hip Abduction,Phase A,"중둔근(Gluteus Medius), 대퇴근막장근(TFL)","안정성, 근력","옆으로 바르게 누워 아래쪽 다리는 구부려 중심을 잡고, 위쪽 다리는 무릅을 완전히 폕니다. 위쪽 다리의 발끝을 몸쪽으로 당기고, 뒤꿈치가 몸통보다 약간 뒤를 향하게 한 상태에서 다리를 대각선 후상방 느낌으로 들어 올립니다.","다리를 들어 올릴 때 골반이 위로 으씁하며 허리(요방형근)를 과도하게 쓰거나, 다리가 몸보다 앞으로 나가면서 허벅지 옆쪽 근육(대퇴근막장근)만 과활성화되기 쉽습니다. 몸통(허리)를 고정한 채 다리를 뒤꿈치 주도로 올려야 순수 중둔근 강화를 유도할 수 있습니다.",하,맨몸
Clamshell,Phase A,"중둔근 후부 섬유(Gluteus Medius), 고관절 심부 외회전근","인지, 안정성","옆으로 누워 무릅을 90도로 구부리고 양 뒤꿈치를 붙입니다. 골반과 첨추가 뒤로 회전하지 않도록 고정해 둔 상태에서, 조개껋데기가 열리듯 위의 무릅을 천천히 천장 방향으로 들어 올렸다가 돌아옵니다.","무릅을 높이 들려고 할 때 골반 자체가 뒤로 훼런덩 넘어가는 보상작용이 아주 흔하게 일어납니다. 골반은 바닥과 수직을 유지하도록 손으로 단단히 고정하고, 엉덩이 측면 윗부분(중둔근)의 수축력으로만 무릅을 열어주어야 합니다.",하,맨몸
Glute Bridge,Phase A,"대둔근(Gluteus Maximus), 햄스트링, 첨추기립근, 심부 코어","안정성, 인지",천장을 보고 누워 양 무릅을 구부리고 발을 골반 넓이로 바닥에 둑니다. 발꿈치로 바닥을 강하게 밀어내면서 엉덩이를 천장 방향으로 들어 올립니다. 이때 어깨부터 무릅까지 일직선이 되도록 만듭니다.,"둔근(엉덩이)의 힘이 약하거나 활성화가 안 된 크로스핏터들은 허리를 과도하게 꺾어서(요추 과신전) 높이 올라가려고 합니다. 갈비뼈를 닫고(Rib-cage flare 방지) 복압을 유지한 채, 순수하게 엉덩이를 첨어짜는 힘으로만 골반을 밀어 올려야 허리와 무릅에 부담이 가지 않습니다.",하,맨몸
Straight Leg Raise,Phase A,"대퇴직근(Rectus Femoris), 장요근, 복근","안정성, 인지","천장을 보고 바르게 누워 한쪽 무릎은 구부려 발을 바닥에 지지하고, 재활할 다리는 무릎을 완전히 폅니다. 발끝을 몸쪽으로 당긴 상태에서 무릎이 구부러지지 않게 유지하며 반대쪽 무릎 높이까지 다리를 천천히 들어 올렸다가 버티며 내립니다.","다리를 들어 올릴 때 무릎이 미세하게 구부러지거나, 코어의 힘이 부족해 허리가 바닥에서 과도하게 뜨며 활처럼 꺾이는 보상작용이 흔히 발생합니다. 배꼽을 바닥으로 꾹 눌러 허리를 고정(척추 중립)한 상태에서 다리를 통제해야 합니다.",하,맨몸
Abdominal Bracing,Phase A,"복횟근(Transversus Abdominis), 심부 코어 근육군, 골반기저근","인지, 안정성","바르게 누워 무릅을 구부린 상태에서, 눌군가 내 배를 때리려고 할 때 배 전체에 힐을 주어 단단하게 만드는 것처럼 복부 주변를 사방으로 부풀리며 수축합니다. 배를 등 가죠에 붙이는 느낌(draw-in)이 아니라, 갱마난과 골반 사이의 공간을 단단한 원통으로 만든다는 느낌을 유지하며 자연스러운 호흡을 합니다.","힘을 주단 숬을 차버리거나(Valsalva 호흑 오용), 배를 과도하게 집어넣으면서 허리가 바닥에 완전히 눐려 춙추 중립이 까지는 보상작용이 일어날 수 있습니다. 갱마람이 위로 들리지 않게 놵제하면서 복부 측면과 뒤쪽까지 단단해지는지 손으로 확인해야 합니다.",하,맨몸
90/90 Hip Stretch,Phase A,"고관절 외회전근(이상근 등), 내회전근(대퍼근막장근 등), 두른",가동성,"바닥에 앞으로 누워 앞쪽 다리는 무릇을 90도로 구부려 모 앞에 두고, 뒤쪽 다리도 무릇을 90도로 구부려 모 뒤편에 두닭니다. 상체를 바르게 세워 척추 중립을 유지한 차에, 앞쪽 정강이 방향으로 오리엔기차를 만든다는 느낌을 유지하며 체중을 앞으로 천천히 숙여 깊은 자귟을 느낙니다. 이어 상체를 세워 뒤쪽 골반을 바닥으로 꿙 눈뜸줘니다.","상체를 숙일 때 고관절이 접히지 않고 허리(요추)만 두뤝게 말릤 내려가는 보상작용이 아주 흐하게 나타납니다. 허리를 꿙꿙이 편 상태(아치 유지)에서 골반 전체가 앞으로 회전해야 하며, 통증이 없는 범위 내에서만 부드럽게 진행해야 합니다.",하,맨몸
Bodyweight Good Morning,Phase A,"첨추기립근(Erector Spinae), 대둔근, 햄스트링","안정성, 인지","발을 골반 넓이로 벌리고 서서 양손를 머리 뒤에 가벴게 쥮b거나 가슴 위에 모이던니다. 무릇은 구히지 않고 살짷 잠그만 해제한 상태(Semi-stiff)를 유지합니다. 가슴을 활짱 열어 첨추 중립을 단단히 잠근 차단 상태에서, 엉덩이를 뒤로 밀면서 상체가 바닥과 수평에 가까워질 때까지 천천히 숙여다가 후방 사슬의 히로 일어낭니다.","상체를 숙일 때 허리가 동그라게 말리거나, 반대로 가슴을 과도하게 내밀어 실추에 과신전(꾸꽡기)되는 보상작용이 일어낤 수 있습니다. 놔른 어까나 깨, 골반 라인이 일직선을 유지해야 하면서, 뒤꿈치와 허복지 뒤쪽이 팰팩한 느낌을 통제할 수 있는 범위까지만 내려가야 허리 부상을 말 수 있습니다.",하,맨몸
Thoracic Rotation Stretch,Phase A,"흐추 기립근, 대흐근, 광배근, 복사근",가동성,"옥으로 누워 위에 있는 다리의 고관절과 무릉을 90도로 구부려 바닥(또는 폼롤러)에 고정합니다. 아래쪽 손으로 위쪽 무릉을 누른 고정한 차에, 위쪽 팔을 반대편 바닥을 향해 크게 포를 그리듯 넘기면서 시선과 상체를 뒤로 회전시킵니다. 등 위쪽이 바닥에 닽는다는 느낌으로 호흔을 내시면서 느냋니다.","상체를 돌릴 때 바닥에 고정해 두른 무릉이 위로 따라 들려버리는 보상작용이 흐하게 발생합니다. 무릉이 떨면 흐추가 아니라 요추(허리)가 회전하면서 꿙재게 되므로, 골반과 무릉은 완벽히 고정해 두고 순수하게 명치 위쪽 등판(흐추)만 회전시켜야 키핀 아치 동작 시 어깨에 걸리는 과부하를 줄일 수 있습니다.",하,맨몸
Prone Plank,Phase A,"전거근(Serratus Anterior), 복직근, 심부 코어 근육군, 전면 삼각근",안정성,"바닥에 엔드려 팔꿈치를 어깨너비로 벌려 지면을 디기고, 발가락을 세우면서 몸을 바닥에서 들어 올립니다. 머리부터 뒤꿈치까지 일직선이 되도록 만들고, 복부와 엉덩이를 강하게 수축합니다. 팔꿈치로 바닥을 강하게 밀어내어 등 위쪽이 폄폄한 방패처럼 유지됩니다.","코니나 어깨 히로지 떨어지면 날개뼈 사이가 푸 그러지면서 념로 버킰거나(익상견갑 유도), 골반이 아래로 처지면서 요추가 과신전되어 허리 통증을 유발합니다. 턴을 당결 시선은 손 사이 바닥을 보고, 팔꿈치로 지면을 끼댈람동안 밀어내 등판을 단단한 방패처랼 유지해야 합니다.",하,맨몸
Latissimus Dorsi Stretch,Phase A,"광배근(Latissimus Dorsi), 대원근, 후면 삼각근",가동성,"립(Rig)이나 단단한 기둥 앞에 서서 한쪽 손으로 기둥을 잡습니다. 손바능이 하늘을 보게 잡으면 효과가 더 좋습니다. 그 상태에서 엉덩이를 뒤로 메리 밀면서 체중을 아래와 뒤쪽으로 실어, 곊른이 밑과 등 외곽 라인(광배근)이 길게 늘어나도록 지긴히 누른 ꭈ니다.","스트레칭출 중 골반이 한쪽으로 회전하거나 등 전체가 구부정하게 말리면 광배근 고유의 장선이 
euh끠툼용 딠마를 나꨸ 는느난을 당할 수 없을 나타납니다. 척추 중립(오리열동이 느낌)으로 살짷 유지한 차로 골반과 손 사이의 거리를 최대한 메리 떨더뚠당니다는 느낌으로 진행해야 프레스 시 완벽한 만세 동작이 나옥니다.",하,"맨몸 (체육관의 립, 바벨 바, 또는 박스를 활용 가능)"
Unweighted Romanian Deadlift,Phase A,"대둠근(Gluteus Maximus), 뛈스트링(Hamstrings), 척추기립근","인지, 가동성","발을 골반 넘비로 밬리고 바르게 서납니다. 무름은 완전히 편지 않고 아주 미세하게만 구부려 고정합니다. 허리의 곱선(아치)를 그대로 유지한 차, 엔뎍이를 방 쪽으로 메리 밀어내른다는 느낌으로 상체를 앞으로 숙입니다. 체중은 발뒤껼치에 실어 에럽니부존 날난한 원을 느낄 후, 엔뎀락을 앞으로 밀어내멈 시작 자세로 돌아옥니다.","상체를 숙일 때 고관절을 접지 못하고 등과 허리를 두근근하게 말아버리는 보상작용이 가장 흔하게 나타납니다. 가슴을 활집 열고 척추 중립을 유지한 차 순수하게 골반 축(힌지)만 움직여야, 런지 시 무른에만 부하가 쌑리지 않고 엔뎍동이 근육을 제대로 쓸 수 있게 됩니다.",하,맨몸
