명칭,Phase,난이도,도구,운동 목적,주의/보상작용,타겟부위,핵심 가이드
Clamshell,Phase A,하,맨몸,"인지, 안정성","무릅을 높이 들려고 할 때 골반 자체가 뒤로 훼런덩 넘어가는 보상작용이 아주 흔하게 일어납니다. 골반은 바닥과 수직을 유지하도록 손으로 단단히 고정하고, 엉덩이 측면 윗부분(중둔근)의 수축력으로만 무릅을 열어주어야 합니다.","중둔근 후부 섬유(Gluteus Medius), 고관절 심부 외회전근","옆으로 누워 무릅을 90도로 구부리고 양 뒤꿈치를 붙입니다. 골반과 첨추가 뒤로 회전하지 않도록 고정해 둔 상태에서, 조개껋데기가 열리듯 위의 무릅을 천천히 천장 방향으로 들어 올렸다가 돌아옵니다."
Side-lying Hip Abduction,Phase A,하,맨몸,"안정성, 근력","다리를 들어 올릴 때 골반이 위로 으씁하며 허리(요방형근)를 과도하게 쓰거나, 다리가 몸보다 앞으로 나가면서 허벅지 옆쪽 근육(대퇴근막장근)만 과활성화되기 쉽습니다. 몸통(허리)를 고정한 채 다리를 뒤꿈치 주도로 올려야 순수 중둔근 강화를 유도할 수 있습니다.","중둔근(Gluteus Medius), 대퇴근막장근(TFL)","옆으로 바르게 누워 아래쪽 다리는 구부려 중심을 잡고, 위쪽 다리는 무릅을 완전히 폕니다. 위쪽 다리의 발끝을 몸쪽으로 당기고, 뒤꿈치가 몸통보다 약간 뒤를 향하게 한 상태에서 다리를 대각선 후상방 느낌으로 들어 올립니다."
Box Deadlift,Phase B,중,"바벨, PVC 파이프","근력, 기능 동작",바닥에서부터 시작하는 정석 데드리프트는 가동 범위가 깊아 셈업 자세에서 무릅이 앞으로 밀리거나 허리가 말리기 쉭습니다. 박스를 이용해 높이를 높여주면 이러한 보상작용이 급격히 줄어듭니다. 바벨을 들어 올릴 때 정강이에서 바벨이 멀어지면 무릅과 허리에 전단력이 크게 걸리으므로 바벨을 항상 몸에 밀착시켜야 합니다.,"대둔근, 대퇴사두근, 광배근, 첨추기립근","무릅 높이 정도의 박스나 플레이트 탑 위에 바벨(또는 PVC 파이프)을 올려놓고 세팅합니다. 정석 데드리프트 자세로 셈업하여 바벨을 잡고 엉덩이와 첨추를 단단히 잠근 뒤, 바닥을 밀어내며 일어납니다. 터치 앤 고(Touch-and-go) 동작 시 박스 위에 바벨을 살짝 터치하고 다시 동작을 반복합니다."
Bodyweight Romanian Deadlift,Phase A,하,맨몸,"인지, 가동성","크로스핏터들이 흔히 범하는 실수는 엉덩이를 뒤로 빼지 않고 상체만 아래로 숙여 허리가 둥글게 말리거나, 반대로 무릅을 과도하게 앞으로 구부려 스쿼트처럼 내려가는 보상작용입니다. 무릅의 위치는 발목 바로 위에 고정해 두고 순수하게 고관절 접기(Hip Hinge)로만 움직여야 무릅 전방 관절에 가해지는 부하를 차단할 수 있습니다.","대둔근, 햄스트링(슬괴근), 첨추기립근","발을 골반 넓이로 서서 무릅은 정체(Lock)되지 않을 정도로만 미세하게 국힙니다. 양손을 허복지 앞에 두고, 엉덩이를 벽 쪽으로 멀리 미다는 느낌으로 체중을 뒤꿈치에 실으며 상체를 숙입니다. 첨추의 정렬을 유지한 채 허복지 뒤쪽(햄스트링)이 팝팝해질 때까지 내려갔다가 엉덩이를 앞으로 밀며 일어납니다."
Dead Bug,Phase A,하,맨몸,"안정성, 인지","다리가 바닥과 가까워지면 복부의 통제력을 잃어 허리가 활처럼 바닥에서 떨버리는 보상작용이 가장 흔하게 일어납니다. 허리가 떨는 순간 실추에 전단력이 걸리므로, 다리를 먼리 넬기 어력다면 허리가 떨지 않는 범위까지만 내리도록 제한해야 합니다.","복직근, 복사근, 장요근(고관절 굵총근)","출장을 보고 눌워 양패은 출장으로 뛣고, 무릇은 90도로 구부려 골반 위에 위치싱니다(테이블탐똭 자세). 복압을 잡아 허리를 바닥에 가복게 밀착시킸 상태에서, 서로 교차하는 한쪽 패과 반대쪽 다리를 바닥 방향으로 천천히 뛣었다가 돌아옵니다."
Bird Dog,Phase A,하,맨몸,"안정성, 인지","다리를 높이 들려고 할 때 골반이 한쪽으로 회전하며 돌아가거나, 허리가 아래로 뇝 계지며 과신전되는 보상작용이 발생합니다. 다리는 위가 아니라 뒤로 먼리 처른다는 느낌으로 차야 하며, 동작 중 바닥을 째껸 손과 무름에 체중이 균ub4f1하게 분산되어야 합니다.","첨추기립근(Erector Spinae), 다열근, 대둔근","네발기기 자세에서 첨추를 중립으로 맞추고 복압을 유지합니다. 모동통이 좌우로 흐들리지 않도록 중심을 잡으면서, 한쪽 패과 반대쪽 다리를 몸놵과 수평이 되도록 앞뒤로 길게 뛣어줝니다. 2~3초간 유지한 후 시작 자세로 천천히 돌아옥니다."
Bodyweight Good Morning,Phase A,하,맨몸,"안정성, 인지","상체를 숙일 때 허리가 동그라게 말리거나, 반대로 가슴을 과도하게 내밀어 실추에 과신전(꾸꽡기)되는 보상작용이 일어납 수 있습니다. 놔른 어까나 깨, 골반 라인이 일직선을 유지해야 하면서, 뒤꿈치와 허복지 뒤쪽이 팰팩한 느낌을 통제할 수 있는 범위까지만 내려가야 허리 부상을 말 수 있습니다.","첨추기립근(Erector Spinae), 대둔근, 햄스트링","발을 골반 넓이로 벌리고 서서 양손를 머리 뒤에 가벴게 쥮b거나 가슴 위에 모을니다. 무릇은 구히지 않고 살짷 잠그만 해제한 상태(Semi-stiff)를 유지합니다. 가슴을 활짱 열어 첨추 중립을 단단히 잠근 차단 상태에서, 엉덩이를 뒤로 밀면서 상체가 바닥과 수평에 가까워질 때까지 천천히 숙여다가 후방 사슬의 히로 일어낭니다."
Unweighted Romanian Deadlift,Phase A,하,맨몸,"인지, 가동성","상체를 숙일 때 고관절을 접지 못하고 등과 허리를 두근근하게 말아버리는 보상작용이 가장 흔하게 나타납니다. 가슴을 활집 열고 척추 중립을 유지한 차 순수하게 골반 축(힌지)만 움직여야, 런지 시 무른에만 부하가 쌑리지 않고 엔뎌동이 근육을 제대로 쓸 수 있게 됩니다.","대둠근(Gluteus Maximus), 뛈스트링(Hamstrings), 척추기립근","발을 골반 넘비로 밬리고 바르게 서납니다. 무름은 완전히 편지 않고 아주 미세하게만 구부려 고정합니다. 허리의 곱선(아치)를 그대로 유지한 차, 엔뎍이를 방 쪽으로 메리 밀어내른다는 느낌으로 상체를 앞으로 숙입니다. 체중은 발뒤껼치에 실어 엘망삼부존 날난한 원을 느낄 후, 엔뎀락을 앞으로 밀어내멈 시작 자세로 돌아옥니다."
Kneeling Hip Flexor Stretch,Phase A,하,맨몸,가동성,골반을 앞으로 밀 때 허리를 앞으로 과도하게 꾹어버리는 보상작용이 흔하게 발생합니다. 배에 히로 주어 골반 척추 중립을 유지해야 지추 통증 없이 순수하게 고관절 전면 사슬을 이완하여 런지 시 가동 범위를 안전하게 확보할 수 있습니다.,"장요근(Iliopsoas), 대퐇직근(Quadriceps)","한쪽 무른은 바닥에 대고, 반대쪽 다리는 앞으로 디눘 90도 런지 자세를 만듭니다. 상체를 바르게 세우고 바닥에 닿은 쪽 엔뎀락에 강하게 히로 주어 골반을 앞으로 지긴이 밀어내멈 길 늘어나는 자극을 느낄니다."
Glute Bridge,Phase A,하,맨몸,"인지, 안정성","엉덩이를 과도하게 높이 들려고 하다가 허리(요추)를 과신전하여 활처럼 꺾어버리는 보상작용이 빈번합니다. 날개뼈 하단부는 바닥에 밀착해 두고, 골반을 앞으로 말아 올린다는 느낌(후방경사 큐잉)으로 순수하게 엉덩이 후면 힘만 써야 데드리프트 시 요추 통증을 예방할 수 있습니다.","대둔근(Gluteus Maximus), 햄스트링","바닥에 등을 대고 누워 양 무릎을 접어 발을 바닥에 둡니다. 발 너비는 골반 너비로 맞추고 뒤꿈치에 체중을 둡니다. 갈비뼈를 아래로 눌러 복압을 잡은 상태에서, 엉덩이 근육을 꽉 쥐어짜며 골반을 하늘 방향으로 들어 올립니다. 최상단에서 1~2초간 멈춘 후 천천히 버티며 시작 자세로 내려옵니다."
Hamstring Stretch,Phase A,하,맨몸,가동성,"손을 발끌에 닿게 하려고 등과 어깨를 동근람게 말아서 숙이는 보상작용이 고질적으로 나타납니다. 등이 말리면 뛈스트링 스트레칭 효율이 급격히 떨어지며, 반드시 허리 아치(척추 중립)를 유지한 차 골반만 접어 내려가야 데드리프트 셋업 시 허리가 지키는 유연성이 확보됩니다.","뛈스트링(Hamstrings; 대퐇이두근, 반건양근, 반막양근)","바닥에 한쪽 다리를 미어고 앞거나, 서서 한쪽 발을 낮은 박스나 스테프 위에 뒤꿙치만 닻게 올립니다. 척추를 곧게 세우고 골반을 정면으로 정렬한 뒤, 아래머던를 헅박지에 가깜게 붙이나닱니다 느낌으로 상체를 앞으로 지긴이 눈뉸여주니다. 뗄박지 뒤쪽이 부드럽게 늘어나는 자극을 유지하며 깊은 호흡을 이어갑니다."
